block_id,emulated_seconds,git_sha,native_seconds,phase,speedup,workload
33790856930.1,344.027318841,b9d8f62d3a874ecc1fcab110476afec6397f63eb,25.479765948,build-test,13.50198112271137,brotli
33790860277.1,341.051160184,b9d8f62d3a874ecc1fcab110476afec6397f63eb,25.533503355,build-test,13.357006104578085,brotli
33790863851.1,322.057216167,b9d8f62d3a874ecc1fcab110476afec6397f63eb,25.80598243,build-test,12.479944022305528,brotli
33791562096.1,334.915564362,b9d8f62d3a874ecc1fcab110476afec6397f63eb,24.919621807,build-test,13.439833355252654,brotli
33791565338.1,318.929703079,b9d8f62d3a874ecc1fcab110476afec6397f63eb,24.798663892,build-test,12.860761550217472,brotli
33793446944.1,1900.795230903,b9d8f62d3a874ecc1fcab110476afec6397f63eb,89.929575409,build-test,21.13648621444255,cpython
33793453246.1,1242.278171946,b9d8f62d3a874ecc1fcab110476afec6397f63eb,93.272942163,build-test,13.318741139043787,cpython
33793459137.1,2162.23575615,b9d8f62d3a874ecc1fcab110476afec6397f63eb,88.397688357,build-test,24.46032013210193,cpython
33797228069.1,1949.350316903,b9d8f62d3a874ecc1fcab110476afec6397f63eb,83.913966862,build-test,23.23034400350525,cpython
33797234274.1,1909.940400616,b9d8f62d3a874ecc1fcab110476afec6397f63eb,88.841488172,build-test,21.49829364540015,cpython
